UEI,Start_Date,End_Date,Duration(Days),Main Cause,Location,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source
UEI-IMD-FL-2015-0001,6/20/2015,6/21/2015,1,Heavy rains,"East Godavari, Srikakulam, Visakhapatnam and West Godavari",ANDHRA  PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to 2000 hectares of crops reported. ii) Inundation of low lying areas,IMD
UEI-IMD-FL-2015-0002,11/15/2015,11/23/2015,8,Heavy rains,"Anantapur, Chittoor, East Godavari, Krishna, Nellore, Prakasam, West Godavari, YSR Kadapa",ANDHRA  PRADESH,NA,NA,NA,NA,88,NA,NA,16710,88 persons died. 16710 animals perished. (844 big animals 3986 small animals & 11880 poultry birds),"i) Extensive damage to Agricultural crops (more than 33% area i.e. 2.18 lakh hectares reported. ii) Rs.786.68/- estimated loss. iii) Damage to 32743 houses reported. iv) 5,673 families in 550 villages affected. v) Extensive damage to 1296.77 km roads reported. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD
UEI-IMD-FL-2015-0003,12/22/2015,12/22/2015,0,Heavy rains,Vishakhapatnam,ANDHRA  PRADESH,NA,NA,NA,NA,4,NA,NA,NA,4 persons died due to landslips,Landslips ,IMD
UEI-IMD-FL-2015-0004,10/6/2015,10/6/2015,0,Heavy rains,Parts of Arunachal Pradesh,ARUNACHAL PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD
UEI-IMD-FL-2015-0005,2/19/2015,2/19/2015,0,Heavy rains,Parts of Assam,ASSAM,NA,NA,NA,NA,2,NA,NA,NA,2 persons died due to landslide,NA,IMD
UEI-IMD-FL-2015-0006,1/6/2015,6/6/2015,151,Heavy rains,"Barpeta, Dhemaji, Golpara",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,About 900 people of 135 villages affected..,IMD
UEI-IMD-FL-2015-0007,9/6/2015,6/17/2015,Diffing the dates,Flood(Brahmaputra and tributaries),"Baksa, Barpeta, Darrang, Dhemaji,Dibrugarh, Goalpara Jorhat,Kamrup, Kamrup (M), Lakhimpur,Morigaon, Nagaon, Nalbari,Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,3,NA,NA,NA,3 persons died in Sonitpur & Baksa,NA,IMD
UEI-IMD-FL-2015-0008,6/20/2015,6/24/2015,4,Flood (Brahmaputra  and tributaries),"Barpeta, Dhemaji, Lakhimpur, Morigaon and Tinsukia. ",ASSAM,NA,NA,NA,NA,1,NA,NA,NA,One person died.,i)About 27248 people of 72 villages affected.  ii) The crops about 1582 hectares of crop land affected.,IMD
UEI-IMD-FL-2015-0009,7/14/2015,7/17/2015,3,Flood (Brahmaputra  and tributaries),Parts of Assam,ASSAM,NA,NA,NA,NA,5,10,NA,NA,5 person died & 10 injured due to severe TS on 14th July,"i) 2,89,788 population affected. ii) Extensive damage to 174 villages reported. iii) Damage to cropland of area 18060 hectares reported.",IMD
UEI-IMD-FL-2015-0010,8/19/2015,8/23/2015,4,Flood (Brahmaputra  and tributaries),"Barpeta, Bongaigaon, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,8,NA,NA,NA,8 persons died,"i) 5,76,537 population affected. ii) Extensive damage to 1200 villages reported. iii) Damage to cropland of area 55,553 hectares reported.",IMD
UEI-IMD-FL-2015-0011,8/25/2015,8/31/2015,6,Flood (Brahmaputra  and tributaries),"Barpeta, Baksa, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,7,NA,NA,NA,7 persons died,"i) 7,35,829 population affected. ii) Extensive damage to 1597 villages reported. iii) Damage to cropland of area 1,18,403 hectares reported.",IMD
UEI-IMD-FL-2015-0012,1/9/2015,12/9/2015,334,Flood (Brahmaputra  and tributaries),"Barpeta,Baksa,  Bongaigaon, Cachar, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kamrup(M), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,28,NA,NA,NA,28 persons died.,"i)17,67,159 population affected. ii) Extensive damage to 2080 villages from 21 districts reported. iii) Damage to cropland of area 1,72,308 hectares reported. ",IMD
UEI-IMD-FL-2015-0013,9/23/2015,9/25/2015,2,Heavy rains,"Dhemaji, Goalpara Kamrup and Lakhimpur",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) 23,497 population affected. ii) Extensive damage to 48 villages reported. iii) Damage to cropland of area 2383 hectares reported. ",IMD
UEI-IMD-FL-2015-0014,7/24/2015,7/24/2015,0,Heavy Rains,Parts of Bihar,BIHAR,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD
UEI-IMD-FL-2015-0015,3/9/2015,3/9/2015,0,Heavy rains,Mungeli,CHATTISGARH,NA,NA,NA,NA,1,4,NA,NA,One child died &  4 persons injured. ,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply",IMD
UEI-IMD-FL-2015-0016,9/18/2015,9/22/2015,4,Heavy rains,"Bastar, Mahasamund Raipur, Rajnandgaon ",CHATTISGARH,NA,NA,NA,NA,2,4,NA,NA,2 persons died &  4 others injured,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD
UEI-IMD-FL-2015-0017,1/6/2015,9/30/2015,267,Heavy rains & Flash Floods (Shatrunjaya river),Saurashtra & Kutch,CHATTISGARH,NA,NA,NA,NA,70,NA,NA,9053,70 people died & 9053 animals perished. ,i)Loss of Rs.1896.87 Crore reported.  ii) 40 lakh population affected. iii) Worst affected district was Amreli. ,IMD
UEI-IMD-FL-2015-0018,3/4/2015,4/4/2015,31,Heavy rains,Shimla,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Shimla due to landslide,NA,IMD
UEI-IMD-FL-2015-0019,6/20/2015,6/21/2015,1,Heavy rains (Cloud Burst),Chamba,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Chamba Dist. due to cloud burst.,i) Damage to crops due to flash floods & cloud burst reported. ii) Damage to 6 houses reported. iii) Damage to 2 power projects reported.,IMD
UEI-IMD-FL-2015-0020,10/7/2015,11/7/2015,31,Heavy rains,"Hamirpur, Kangra, Kullu, Mandi, Shimla and  Sirmaur",HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i)Power projects shut down in Shimla & Kullu Dist. ii) Air India flights cancled at Gaggal Airport. iii) Roads blocked due to landslides. iv) The Bora Bhangal valley of Kangra Dist. cut off as Hanny bridge collapsed due to flash floods.,IMD
UEI-IMD-FL-2015-0021,7/16/2015,7/17/2015,1,Heavy rains (Cloud Burst),"Hamirpur, Kangra, Shimla Sirmaur and Solan ",HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3 worker washed away due to cloud burst at Puncha Nallah in Kullu Dist,i)Damage to crops reported. ii) 2 trucks loaded with material washed away in Solan Dist. iii) Bridge collapsed at Sadhupul Khud in Solan Dist. ,IMD
UEI-IMD-FL-2015-0022,7/26/2015,7/26/2015,0,Heavy rains,Shimla ,HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3   persons   including  2   children  died   due  to  landslide. ,NA,IMD
UEI-IMD-FL-2015-0023,8/8/2015,12/8/2015,122,Heavy rains (Flood in Swan river),"Bilaspur, Chamba, Hamirpur, Kangra,  Mandi, Shimla, Sirmaur, Una",HIMACHAL PRADESH,NA,NA,NA,NA,4,2,NA,NA,") 3 persons died due to landslide. One man swept away in Swan river, Una Dist. & 2 persons missing. ii) Several cattle heads perished.","i) Damage to vegetables & Maize   crops reported. ii) A bus stand at Dharampur, Dist. Mandi inundated. iii) Several vehicles washed away in flashflood. iv) 100 shops submerged. v) Several roads including Theog Hatkoti road, Kangra - Dharamshala NH-88 roads blocked due to landslides",IMD
UEI-IMD-FL-2015-0024,8/19/2015,8/19/2015,0,Heavy rains,Kullu,HIMACHAL PRADESH,NA,NA,NA,NA,10,NA,NA,NA,10 persons died due to landslide.,Landslide,IMD
UEI-IMD-FL-2015-0025,3/21/2015,3/21/2015,0,Heavy rains,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,1,NA,NA,One person died & one injured due to house collapsed by landslide,NA,IMD
UEI-IMD-FL-2015-0026,3/30/2015,3/30/2015,0,Heavy rains,Budgam,JAMMU & KASHMIR,NA,NA,NA,NA,16,NA,NA,NA,16 persons died due to landslide,i) Damage to 18 houses reported.  ii) National highway remained closed,IMD
UEI-IMD-FL-2015-0027,4/4/2015,4/4/2015,0,Heavy rains,Jammu & Kashmir ,JAMMU & KASHMIR,NA,NA,NA,NA,24,NA,NA,NA,24 persons died due to landslide & landslips,Massive Landslide,IMD
UEI-IMD-FL-2015-0028,6/7/2015,6/7/2015,0,Cloud Burst,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,NA,NA,NA,One woman died,NA,IMD
UEI-IMD-FL-2015-0029,9/7/2015,7/16/2015,Diffing the dates,Heavy rains,"Anantnag, Ganderbal ",JAMMU & KASHMIR,NA,NA,NA,NA,11,2,NA,NA,11 persons died &  2 others missing,i) Several villages washed away. ii) Damage to about 50 houses reported. iii) Extensive damage to Government owned Trout Fish Hatcheries reported.  ,IMD
UEI-IMD-FL-2015-0030,7/24/2015,7/24/2015,0,Cloud Burst,Jammu,JAMMU & KASHMIR,NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,Damage to several houses reported,IMD
UEI-IMD-FL-2015-0031,7/25/2015,7/31/2015,6,Heavy Rain & Flash Flood,"Badgam, Ganderbal, Kishtwar, Ramban ",JAMMU & KASHMIR,NA,NA,NA,NA,4,19,NA,NA,4 persons died & 19 other injured near base camp of Amarnath yatra at Baltal.,i) Damage to Agricultural land reported. ii) Damage to several Govt. buildings & residential houses reported.,IMD
UEI-IMD-FL-2015-0032,9/23/2015,9/23/2015,0,Heavy Rain & Flash Flood,"Anantnag, Kulgam ",JAMMU & KASHMIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to Orchards and standing crops reported. ii) Damage to a dozen houses, two school buildings and several cowsheds reported. ",IMD
UEI-IMD-FL-2015-0033,6/3/2015,3/14/2015,Diffing the dates,Heavy rains,"Ballari, Dakshina Kannada, Gadag, Hassan, Uttar Kannada",KARNATAKA,NA,NA,NA,NA,1,NA,NA,4,1 man died temple wall collapse. 4 cattle heads perished.,"i)Damage to standing crops & Mango, Banana trees reported. ii) Damage to 8 houses reported.",IMD
UEI-IMD-FL-2015-0034,7/4/2015,12/4/2015,153,Heavy rains,"Ballari,  Bidar, Hassan, Kodagu, Raichur ",KARNATAKA,NA,NA,NA,NA,4,1,NA,NA,4 persons died & One girl injured due to roof  of house collapsed,"i) Damage to Paddy crops, thousands of Banana plants, hundreds of Coconut trees & Rice bags reported ii) Damage to many houses reported. iii)  Damage to about 250 Tin-sheds reported. iv)  Many trees/electric poles uprooted. ",IMD
UEI-IMD-FL-2015-0035,4/22/2015,4/23/2015,1,Heavy rains,"Bangalore Urban, Shimoga,  Tumkur",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died due  to wall collapse in Bangalore Urban &  4 persons injured in Shimoga Dist,"i) Damage to Banana, Coconut, Mango, Jackfruit trees reported. ii) Damage to several houses reported. iii) Damage worth lakhs rupees reported.  iv) Many trees / electric poles uprooted",IMD
UEI-IMD-FL-2015-0036,4/5/2015,11/5/2015,214,Heavy rains,"Raichur, Tumkur ",KARNATAKA,NA,NA,NA,NA,2,1,NA,NA,2 persons died & one other injured due to wall collapse ,Damage to Paddy crops resulting loss of lakhs of rupees reported. ,IMD
UEI-IMD-FL-2015-0037,5/27/2015,5/31/2015,4,Heavy rains,"Bangalore Rular, Bangalore Urban, Chitradurga, Hassan ",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died &  4 other injured,"Damage to more than 3000 Banana plants, Onion crop in 40 acre land, Coconut trees, pomegranate, Betel nuts reported. ii) Damage to Rose garden causing loss of lakhs of rupees reported. iii) Damage to many houses reported.  ",IMD
